time,logger,level,message,exception
2012-06-08 09:40:21.8924,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-08 09:40:21.8924,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608094021891} AND ( *:* -MessageSent:true),
2012-06-08 09:40:21.8924,Raven.Database.Server.HttpServer,Debug,Request #  13: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-08 09:40:21.8924,Raven.Database.Server.HttpServer,Debug,Request #  14: GET     -     3 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608094021891%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:40:21.9014,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608094021891} AND ( *:* -MessageSent:true)
	Time: 2 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:40:23.8838,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:28.9873,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:31.9994,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-08 09:40:31.9994,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608094031998} AND ( *:* -MessageSent:true),
2012-06-08 09:40:32.0024,Raven.Database.Server.HttpServer,Debug,Request #  15: GET     -     2 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608094031998%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:40:32.0024,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608094031998} AND ( *:* -MessageSent:true)
	Time: 2 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:40:32.0024,Raven.Database.Server.HttpServer,Debug,Request #  16: GET     -     3 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-08 09:40:34.0188,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:39.1173,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:42.0304,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-08 09:40:42.0304,Raven.Database.Server.HttpServer,Debug,Request #  17: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-08 09:40:42.0304,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608094042029} AND ( *:* -MessageSent:true),
2012-06-08 09:40:42.0304,Raven.Database.Server.HttpServer,Debug,Request #  18: GET     -     4 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608094042029%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:40:42.0304,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608094042029} AND ( *:* -MessageSent:true)
	Time: 4 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:40:44.2157,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:49.2422,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:52.0604,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-08 09:40:52.0604,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608094052059} AND ( *:* -MessageSent:true),
2012-06-08 09:40:52.0604,Raven.Database.Server.HttpServer,Debug,Request #  19: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-08 09:40:52.0604,Raven.Database.Server.HttpServer,Debug,Request #  20: GET     -     3 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608094052059%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:40:52.0604,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608094052059} AND ( *:* -MessageSent:true)
	Time: 3 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:40:54.3207,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
